,points
"MEDICAL CENTER, NYU",512
"MEDICAL CENTER, NY HOSPITAL-CORNELL UNIV",512
"BAR FOUNDATION, AMERICAN",512
EXECUTIVES CLUB,512
NATIONAL GENERAL CORP.,512
OAK RIDGE ATOMIC PLANTS,512
DOUBLEDAY & CO INC.,512
KENNECOTT COPPER CORP.,512
INTER-AMERICAN DEFENSE BOARD,512
IRS,512
PARKE-BERNET GALLERIES INC.,512
DEM,512
"SOCIAL STUDIES, NYS COUNCIL FOR",512
"SUICIDEOLOGY, AMERICAN ASSN OF",512
"TRAVEL ASSN, PACIFIC AREA",512
"STREET, ELECTRIC RY AND MOTOR COACH EMPLOYES OF AMERICA, AMALGAMATED ASSN OF",512
BLDG AND CONSTRUCTION TRADES DEPT,512
"STOCK EXCHANGE FIRMS, ASSN OF",512
Paine College,512
OPEN DIE FORGING INSTITUTE INC.,512
LENINGRAD SYMPHONY,512
Federal Reserve Bank of New York,512
"PLANNERS, AMERICAN INSTITUTE OF",512
TOLSTOY FOUNDATION,512
"VIETNAM, CITIZENS COMMITTEE FOR PEACE WITH FREEDOM IN",512
AMERICAN STEEL & PUMP CORP.,512
Gridiron Club,512
Wichita State University,512
"PHYSICS, AMERICAN INSTITUTE OF",512
"CIVIC RESPONSIBILITY, NATIONAL COUNCIL FOR",512
LIFE LINE FOUNDATION,512
"SCIENCE CENTER, WORLD",512
"TRAVEL ORGANIZATIONS, NATIONAL ASSN OF",512
PHILADELPHIA ACADEMY OF MUSIC,512
MADISON SQUARE GARDEN CORP.,512
NEW YORK CITY OPERA COMPANY,512
"BLINDNESS, RESEARCH TO PREVENT, INC.",512
URBAN LEAGUE OF GREATER NY,512
"ATOMIC WEAPONS SPREAD, EDUCATIONAL COMMITTEE TO HALT",512
"CORRESPONDENTS ASSN, UNITED NATIONS",512
GREAT LAKES CARBON CORP.,512
US INDUSTRIES INC.,512
"ART ASSN, ATLANTA",512
"DEMOCRATS OF CONNECTICUT, YOUNG",512
"SAVINGS BANKS, NATIONAL ASSN OF MUTUAL",512
LIBRARY AND MUSEUM OF THE PERFORMING ARTS,512
AMBULANCE SERVICE,512
CREDIT DATA CORP.,512
NUCLEAR FUEL SERVICES INC.,512
MONTEFIORE HOSPITAL,512
"FINANCIAL WRITERS ASSN, NY",512
NORTH AMERICAN ROCKWELL CORP.,512
WESTERN AIR LINES,512
HUNDRED YEAR ASSN OF NEW YORK,512
IMMACULATE HEART COMMUNITY,512
"PRINCIPALS, NYC ELEMENTARY SCHOOL",512
"PETROLEUM INSTITUTE, AMERICAN",512
NEWARK CITY HOSPITAL,512
COMBUSTION ENGINEERING INC.,512
ETHYL CORP.,512
WREC,512
PEAT MARWICK MITCHELL & CO.,512
"WORLD TENSIONS, COUNCIL ON",512
CIVIL RIGHTS COMM,512
MCGRAW-HILL INC.,512
UNITED FRUIT CO.,512
"ALUMNI COUNCIL, AMERICAN",512
"ATOMIC AND HYDROGEN BOMBS, WORLD CONGRESS AGAINST",512
"REPUBLICANS OF NJ, YOUNG",512
Theater Development Fund,512
"MEDICAL CENTER, AMERICAN",512
"RENT COMM, TEMPORARY STATE HOUSING",512
LAZARD FRERES & CO.,512
BURGER CHEF SYSTEMS INC,512
"GREENE, DAVID J, & CO.",512
"CLOTHIERS AND FURNISHERS, NATIONAL ASSN OF RETAIL",512
"GHANA, UNIV OF",512
PARKE DAVIS & CO.,512
ALABAMA CHAMBER OF COMMERCE,512
"PATHOLOGISTS, COLLEGE OF AMERICAN",512
MONTE CASSINO MONASTERY,512
FAIR CAMPAIGN PRACTICES COMMITTEE,512
DEI INDUSTRIES INC.,512
"ARMS CONTROL AND DISARMAMENT AGENCY, UNITED STATES",512
BOYHOOD HOME,512
"NARCOTICS AND DANGEROUS DRUGS, BUREAU OF",512
"PUBLISHERS ASSN, NYS",512
"WOMEN VOTERS, NYC LEAGUE OF",512
NIXON INC,512
FOREIGN POLICY ASSN-WORLD AFFAIRS CENTER,512
ARENA STATE THEATRE,512
ELECTORAL COLL,512
AIR CONGO,512
NINTH FEDERAL SAVINGS & LOAN ASSN,512
WMCA,512
"RENT CONTROLS, CITIZENS' COMMITTEE FOR THE PRESERVATION OF",512
"REGISTRATION END VOTING PARTICIPATION, PRESIDENT'S COMMISSION ON",512
"HOME BUILDERS, NATIONAL ASSN OF",512
"WILLISTON, J R, & BEANE",512
"PARIS, UNIV OF",512
"PITTSBURGH, UNIVERSITY OF",512
"VIRGINIA, UNIVERSITY OF",512
HUNTS POINT COMMUNITY CORP.,512
AMERADA PETROLEUM CORP.,512
NEW YORK CITY INDUSTRIAL DEVELOPMENT CORP.,512
"EDUCATION CONSTRUCTION FUND, NYC",512
WASHBURN UNIV.,512
Vanderbilt University,512
CASA AMESTI,512
CHILD WELFARE LEAGUE,512
"CLOTHIERS AND FURNISHERS OF AMERICA, NATIONAL ASSN OF RETAIL",512
HOSTOS COLLEGE,512
CHUBB CORP,512
RELIABLE SAMPLE CARD CO.,512
"DEMOCRATIC CLUB, WEST SIDE",512
"PRESS INSTITUTE, INTERNATIONAL",512
SCIENTISTS INSTITUTE FOR PUBLIC INFORMATION,512
"DEMOCRATIC INSTITUTIONS, CENTER FOR THE STUDY OF",512
CHATHAM TOWERS,512
METROPOLITAN APPLIED RESEARCH CENTER INC.,512
"ZIONIST CONGRESS, WORLD",512
PHARMACEUTICAL MFRS ASSN.,512
"ROOSEVELT, ELEANOR, MEMORIAL FOUNDATION",512
TAX EXECUTIVES INSTITUTE INC.,512
Fund for the Republic,512
FIRST NATIONAL CITY CORP.,512
SHEARSON HAMMILL & CO.,512
"JOURNALISM, GRAD SCHOOL OF",512
"COSTA RICA, UNIV OF",512
"TAX REDUCTION IN 1963, BUSINESS COMMITTEE FOR",512
Reformed Church in America,512
"DEMOCRATIC CLUB, JAMES MADISON",512
"INDUSTRIAL TRADE UNIONS, NATIONAL ORGANIZATION OF",512
"PORTLAND CHAMBER OF COMMERCE, GREATER",512
BUILDING SERVICE EMPLOYES INTERNATIONAL UNION,512
"ARTS AND HUMANITIES, NATIONAL FOUNDATION ON",512
SINGER CO.,512
Hadassah,512
BOSTON & MAINE RR CO.,512
ROBERT FULTON HOUSES,512
"RELIGIOUS BROADCASTERS, NATIONAL",512
COMMUNITY SERVICE SOCIETY OF NY,512
"RICHARDSON, SID W, FOUNDATION",512
"CONNECTICUT, UNIVERSITY OF",512
CLAREMONT VILLAGE,512
"NUCLEAR SOCIETY, AMERICAN",512
PUBLIC EQUITY CORP,512
PURCHASE DEPARTMENT,512
MUTUAL BENEFIT LIFE INSURANCE CO.,512
NEW JERSEY BELL TELEPHONE CO.,512
"MISSISSIPPI, UNIV OF",512
LONG ISLAND ASSN.,512
St George Hotel,512
FORGING INDUSTRY ASSN,512
Horace Mann School,512
Kingsborough Community College,512
"GRAND, S T, INC.",512
ADM,512
Freedom House,512
Inner Circle,512
Dwight School,512
"TOWNS OF THE STATE OF NY, ASSN OF",512
Rice University,512
"SCHRADER, ABE, CORP",512
DISARMAMENT COMMISSION,512
JUILLIARD MUSIC SCHOOL,512
"COLLEGIATE REGISTRARS AND ADMISSIONS OFFICERS, AMERICAN ASSN OF",512
S O SYSTEMS INC,512
MASAI TRIBE,512
USCG,512
WOLFSON FAMILY FOUNDATION,512
"LATIN AMERICA, COUNCIL FOR",512
"HOUSING AND PLANNING COUNCIL OF NY, CITIZENS",512
"NIXON, RICHARD M, FOUNDATION",512
"HATTERS, CAP AND MILLINERY WORKERS INTERNATIONAL UNION, UNITED",512
"UNITED NATIONS, CHURCH CENTER FOR THE",512
"NORTH DAKOTA, UNIV OF",512
JAMES PETER WARBASSE HOUSES,512
HEARST CORP.,512
"WIDENER, WARREN",512
"ECONOMIC EDUCATION, NYC COUNCIL ON",512
"POVERTY, INTER-RELIGIOUS COMMITTEE AGAINST",512
WNBC-TV,512
WOMEN'S CITY CLUB OF NY,512
DEFIANCE INDUSTRIES INC.,512
"GEOGRAPHICAL CONGRESS, INTERNATIONAL",512
BOWERY SAVINGS BANK,512
"MEDIATION AND CONCILIATION SERVICE, FEDERAL",512
AMERICAN UNIV,512
NEW ENGLAND CONSERVATORY OF MUSIC,512
CENTRAL RR CO OF NJ,512
ATLANTIC COUNCIL OF THE US,512
NEW JERSEY COLLEGE OF MEDICINE AND DENTISTRY,512
"RICHMOND, UNIV OF",512
"TEMPERANCE SOCIETY, TWENTY THIRD WARD",512
NATL,512
Gouverneur Hospital,512
FREEDOM NATIONAL BANK,512
Statler Hilton Hotel,512
NARCOTIC ADDICTION CONTROL COMMISSION,512
Brooks Brothers,512
AIRPORT BUS AND LIMOUSINE SERVICES,512
Swissair,512
CITIZENS EXCHANGE CORPS,512
"NEGRO COLLEGE FUND, UNITED",512
URBAN TRANSPORTATION ADVISORY COUNCIL,512
"JURY ASSN OF NY COUNTY, GRAND",512
"FOOD AND FIBER, NATL ADVISORY COMM ON",512
WORKMEN'S COMPENSATION INSURANCE,512
"SUPERVISORY ASSNS, COUNCIL OF",512
"RETIRED PERSONS, AMERICAN ASSN OF",512
Dalton School,512
Bohemian Club,512
WEATHER BUREAU,512
PUBLISHERS ASSN OF NYC,512
Hampshire College,512
REPUBLIC AVIATION CORP.,512
"RESCUE COMMITTEE, INTERNATIONAL",512
BAR-LLAN UNIVERSITY,512
"UNITED STATES-CHINA RELATIONS, NATIONAL COMMITTEE ON",512
INTERNATIONAL DEVELOPMENT ATTN,512
"REAL ESTATE BOARDS, NATIONAL ASSN OF",512
Cleveland Indians,512
CONTINENTAL GRAIN CO.,512
DUKE UNIV.,512
Population Assn of America,512
IMPERIAL AIRLINES,512
REHABILITATION MORTGAGE INSURANCE CORP.,512
UNIVERSITY COLLEGE,512
UNITED NATIONS PLAZA,512
GENEVA FORGE DIVISION OF EKCO PRODUCTS CO.,512
"FOOTBALL FOUNDATION, NATIONAL",512
"SLOANE, W & J, INC",512
FIELD ENTERPRISES EDUCATIONAL CORP.,512
"PEACE UNION, STUDENT",512
"POLITICAL SCIENCE, ACADEMY OF",512
NEW YORK KNICKERBOCKERS,512
CONSUMER AFFAIRS DEPARTMENT,512
CITIZENS CASUALTY CO.,512
"VETERAN ACTION, OFFICE OF",512
New York Mets,512
Housing and Community Renewal Division,511
COMMITTEE OF ONE MILLION AGAINST THE ADMISSION OF COMMUNIST CHINA TO THE UNITED NATIONS,511
TRINITY COLLEGE,511
Haverford College,511
FLORIDA TECHNOLOGICAL UNIVERSITY,511
NEIGHBORHOOD GOVERNMENT OFFICE,511
"LABOR COUNCIL, NEGRO-AMERICAN",511
"GOLFERS ASSN, PROFESSIONAL",511
ORGANIZATIONS AND SOCIETIES,511
PACIFIC NORTHWEST PIPELINE CO.,511
WACKENHUT CORP.,511
MENSWEAR RETAILERS OF AMERICA,511
TRAILERS AND RECREATIONAL VEHICLES,511
CIVIL RIGHTS MOVEMENT - CIVIL RIGHTS ACT OF 64 - WHITE HOUSE CIVIL RIGHTS CONF PLANNING SESSIONS HELD,511
EISENHOWER ADMINISTRATION,511
"TRADE AND DESIGN CENTER, WORLD",511
"PLATFORM ASSN, INTERNATIONAL",511
"LAW ENFORCEMENT AND ADMINISTRATION OF JUSTICE, PRESIDENT'S COMMISSION ON",511
"ELECTRICAL, RADIO AND MACHINE WORKERS OF AMERICA, UNITED",511
HARLEM URBAN CORP.,511
Consumer Protection Board,511
"WOMEN'S POLITICAL CAUCUS, NATIONAL",511
"HUE, UNIV OF",511
PRINCE EDWARD FREE SCHOOL ASSN.,511
Business-Industry Political Action Committee,511
"PRINCIPALS ASSN, HIGH SCHOOL",511
ATLANTA BANK,511
Mount St Mary's College,511
Salvation Army,511
"SIDLEY, AUSTIN, BURGESS & SMITH",511
FREEDOM NEW PARTY,511
CUSTOMS BUREAU OF,511
"CORPORATE SECRETARIES, AMERICAN SOCIETY OF",511
Retail Wholesale and Department Store Union,511
"BIOLOGY, FEDERATION OF AMERICAN SOCIETIES FOR EXPERIMENTAL",511
"TRADE NEGOTIATIONS, OFFICE OF THE SPECIAL REPRESENTATIVE FOR",511
"EXECUTIVE ORGANIZATION, PRESIDENT'S ADVISORY COUNCIL ON",511
"DEPINNA, A, CO",511
HARTFORD FIRE INSURANCE CO.,511
GREATER NY INDUSTRIAL DEVELOPMENT CORP.,511
"EMPLOYMENT OPPORTUNITY, PRESIDENT'S COMMITEE ON EQUAL",511
"SUSSEX, UNIV OF",511
"JEWISH APPEAL, UNITED",511
"COMMUNITY-ACTION EDUCATION, CENTER FOR",511
"TRANSPORTATION, MAYOR'S COUNCIL ON",511
CONSUMER PROTECTION AGENCY,511
"RAILROAD TRAINMEN, BROTHERHOOD OF",511
TEACHERS COLL,511
AIR INDIA,511
RENFIELD IMPORTERS LTD.,511
HOUSING AND URBAN DEVELOPMENT DEPT,511
"WELFARE INSPECTOR GENERAL, OFFICE OF",511
"ALTMAN, B, & CO.",511
PROTESTANTS AND OTHER AMERICANS UNITED FOR SEPARATION OF CHURCH AND STATE,511
Clark University,511
St Peter's College,511
ANTIOCH COLLEGE,511
TIME-LIFE INTERNATIONAL,511
EUROPEAN MOVEMENT,511
VILLARD HOUSES,511
"PUERTO RICO, UNIVERSITY OF",511
"CONSUMER AFFAIRS, OFFICE OF",511
Progressive Labor Party,511
BAYLOR UNIV.,511
PACIFIC NORTHWEST PIPELINE CO,511
AUTOMATIC MERCHANTS INC,511
"CHRISTIANS AND JEWS, NATIONAL CONFERENCE OF",511
"CUBA, CITIZENS COMMITTEE FOR A FREE",511
TRENTON TRUST CO.,511
"HOUSING, PRESIDENT'S COMMITTEE ON EQUAL OPPORTUNITY IN",511
"NIXON MUDGE, ROSE, GUTHRIE, ALEXANDER & MITCHELL",511
DIST CT,511
DICTAPHONE CORP.,511
NARCOTIC ADDICTION CONTROL COMM,511
MASARYK TOWERS,511
Seattle Opera,511
Cia,511
"DYER, B W, & CO.",511
FIRST NATIONAL STATE BANK OF NJ,511
BOYS INC OF AMERICA,511
MANIDA JUVENILE DETENTION CENTER,511
"MARITIME COMMISSION, FEDERAL",511
"PRINCIPALS AND ADMINISTRATORS, ASSN OF NYC YESHIVA",511
TREAS DEPT,511
"WORLD AFFAIRS, CLEVELAND COUNCIL ON",511
ADELPHI UNIVERSITY,511
FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC AND THE ARTS,511
"ARTS, PRESIDENT'S ADVISORY COUNCIL ON",511
ADVISORY GROUPS AND PRESIDENTIAL COMMITTEES,511
CANCER CARE,511
HUDSON RIVER CONSERVATION SOCIETY,511
WILLARD HOTEL,511
ECONOMIC COMMISSION FOR ASIA AND THE FAR EAST,511
MICHIGAN STATE UNIV.,511
CIVIL RIGHTS MOVEMENT - INVOLVEMENT OF CIVIL RIGHTS GROUPS IN OPPOSING VIETNAM WAR CRITICIZED,511
GLASSBORO STATE COLLEGE,511
INTERNATIONAL PUBLISHING CORP.,511
PERUVIAN SS CO.,511
AREA REDEVELOPMENT ADMINISTRATION,511
KENT MFG CORP,511
"PRESS ASSN, NASSAU COUNTY",511
CITY EMPLOYES UNION,511
Communications Satellite Corp,511
"STOCK EXCHANGE, PACIFIC COAST",511
MANIDA JUVENILE CENTER,511
"PILOTS ASSN, NATIONAL",511
Girl Scouts,511
BUSINESS EDUCATION ASSN OF CITY OF NY AND VICINITY,511
CO-OP HOUSING,511
"PURCHASING AGENTS, NATIONAL ASSN OF",511
HUMAN RIGHTS COMMISSION,511
"HOUSING ADMINISTRATION, FEDERAL",511
WEBER & HEILBRONER,511
"SCIENCE ADVISORY COMMITTEE, PRESIDENT'S",511
"KENNEDY, JOSEPH P JR, MEMORIAL FOUNDATION",511
RIVERVIEW EAST,511
"FLORIDA, CHAMBER OF COMMERCE OF",511
"ECONOMIC IMPACT OF DEFENSE AND DISARMAMENT, COMMITTEE ON THE",511
HERNDON FOUNDATION,511
EISENHOWER COLLEGE,511
Tax Executives Institute,511
TUSKEGEE VETERANS ADMINISTRATION HOSPITAL,511
"OIL INSTITUTE, NATIONAL FUEL",511
"PARK COMMISSION, LONG ISLAND STATE",511
"BUFFALO, UNIV OF",511
APPEALS CT,511
"ARTS, NYS COUNCIL ON THE",511
"TRAVEL AGENTS, AMERICAN SOCIETY OF",511
"WEST INDIES, UNIVERSITY OF",511
Judson Memorial Church,511
"INTERNATL DEVELOPMENT, AGENCY FOR",511
CIVILIAN CONTROLLED REV BD,511
"FRANKLIN, BENJAMIN, SOCIETY, INTERNATIONAL",511
"ARTS AND HUMANITIES, NATIONAL FOUNDATION ON THE",511
BELGO-AMERICAN ASSN,511
Seton Hall University,511
TOMORROW PRODUCTIONS INC.,511
"BANKERS ASSN, VIRGINIA",511
CLARK UNIV.,511
"SPACE, COM ON PEACEFUL USES OF OUTER",511
GLOBE AIRLINES,511
SOUTH CHICAGO COMMUNITY HOSP.,511
UNION ADMINISTRATION AND FINANCES,511
COUNCIL OF TRENT,511
CAMBRIDGE BOOK CO,511
ATLANTA UNIVERSITY,511
GROCERY MFRS OF AMERICA INC.,511
ECON DEVELOPMENT ADM,511
WILKES COLLEGE,511
Patrolmen's Benevolent Assn,511
PHILATHEA COLLEGE,511
PLANNING BUR,511
HESS OIL & CHEMICAL CORP.,511
Pennsylvania Society,511
"URBAN DEVELOPMENT, INSTITUTE FOR",511
ELECTORAL COLLEGE,511
INDIANA UNIV.,511
Carroll College,511
NATL HEALTH SERVICE,511
DALHOUSIE UNIV,511
Citizens Union,511
"FOREIGN RELATIONS, CHICAGO COUNCIL ON",511
"CHILDREN OF NYC, CITIZENS COMMITTEE FOR",511
"HOUSING AND HOME FINANCE AGENCY, FEDERAL",511
"HOUSING FINANCE AGENCY, NYS",511
BANK OF AMERICA NATIONAL TRUST & SAVINGS ASSN,511
FINE ARTS THEATER,511
DEM PARTY - PARTY LOYALTY ISSUE,511
STUDEBAKER,511
"KAPLAN, J M, FUND",511
"HUTTON, E F, & CO.",511
JOHN BROWN UNIV.,511
FOREIGN POLICY ASSN.,511
GATEWAY NATIONAL BANK,511
LITFUND,511
INTERNATIONAL AMPHITHEATRE,511
ADDICTION SERVICES AGENCY,511
"TEACHERS ASSN, CITY",511
"LAWYERS, INTERNATIONAL ASSN OF DEMOCRATIC",511
"ST PATRICK, SOCIETY OF THE FRIENDLY SONS OF",511
AIR AMERICA,511
BLOOMINGDALE BROTHERS INC.,511
PAROLE DIV,511
EMERGENCY PLANNING OFFICE,511
"RECREATION, BUREAU OF OUTDOOR",511
ARMCO STEEL CORP.,511
"PARKS, RECREATION AND CULTURAL AFFAIRS ADMINISTRATION",511
"BAR ASSN, SEATTLE-KING COUNTY",511
"JEWISH JOINT DISTRIBUTION COMMITTEE, AMERICAN",511
Parking Violations Bureau,511
MOSCOW UNIV.,511
POL AND SECURITY COM,511
LATIN-AMERICAN SOLIDARITY ORGANIZATION,511
"ANTHROPOLOGICAL ASSN, AMERICAN",511
PEPPERDINE COLLEGE,511
WNET,511
HANNA MINING CO.,511
"ASSOCIATION EXECUTIVES, AMERICAN SOCIETY OF",511
GM,511
CHIANG CHING-KUO,511
VIETNAM MORATORIUM COMMITEE,511
KORESHAN UNITY,511
H&M,511
EASTERN AIR LINES,511
BUILDING TRADES EMPLOYERS ASSN,511
LEARNING MATERIALS INC.,511
COLUMBIA PICTURES CORP.,511
"ECONOMIC CONDITIONS, DEVELOPMENT AND SYSTEMS",511
YOUNG MEN'S CHRISTIAN ASSN.,511
BUREAU OF LABOR STATISTICS CONSUMER PRICE INDEX,511
"NEGRO BUSINESS AND PROFESSIONAL COMMITTEE, NATIONAL",511
EMORY UNIV.,511
"PRISONS, BUREAU OF",511
AMERICAN ITALIAN ANTI-DEFAMATION LEAGUE,511
"TEACHERS ASSN, NYS SCHOOL NURSE",511
BOEING CO.,511
FORD,511
ASSOCIATED COMMUNITY TEAMS,511
DELTA COUNCIL,511
Japan Society,511
ENERGY POLICY OFFICE,510
INTERNATL OFFICIAL VISITORS OFFICE,510
CHARITIES AND WELFARE FUND,510
"POLICE SOCIETIES, NATIONAL COUNCIL OF",510
AVIATION AND SPACE WRITERS ASSN.,510
CREDIT UNION NATIONAL ASSN.,510
MOORHEAD STATE COLLEGE,510
FRENCH ACADEMY OF FINE ARTS,510
FINANCIAL ANALYSTS FEDERATION,510
"HANNA, M A, CO.",510
WNDT,510
"PRES SCHOLARS, COMM ON",510
NATIONAL RENAISSANCE PARTY,510
MARITIME ASSN OF THE PORT OF NY,510
New York Athletic Club,510
"TRANSIT AUTHORITY, NEW YORK CITY",510
"NATO AND EUROPEAN REGIONAL ORGANIZATIONS, US MISSION TO",510
Pittsburgh Pirates,510
"IMPORT-EXPORT POLICY, NATIONWIDE COMMITTEE OF INDUSTRY, AGRICULTURE AND LABOR ON",510
CIVIL RIGHTS LEGIS - REPUB ASSESSMENTS OF CIVIL RIGHTS AS FACTOR IN REPUB DEFEAT IN PRES ELECTION,510
"TRAFFIC SAFETY AGENCY, NATIONAL",510
BRIGHTON NATIONAL BANK,510
"SCHOOL BOARDS ASSN, NYS",510
Marymount College,510
"ILLINOIS, UNIVERSITY OF",510
INVESTORS DIVERSIFIED SERVICES INC.,510
AMERICAN NATIONS FRONT,510
"TOLEDO, UNIVERSITY OF",510
"REVOLUTION, AD HOC COMMITTEE ON THE TRIPLE",510
TRANSPORTATION DEPT,510
"CHILD DEVELOPMENT, OFFICE OF",510
"CHRISTIAN CHURCHES, AMERICAN COUNCIL OF",510
Capitol Theater,510
Time Inc,510
GOLDMAN SACHS & CO.,510
LABOR-MANAGEMENT COUNCIL,510
NEWBURGER LOEB & CO,510
PERFORMANCE SYSTEMS INC.,510
"FARMERS ORGANIZATION, NATIONAL",510
"HEALTH ORGANIZATION, WORLD",510
CLAIMS CT,510
"WASHINGTON, UNIVERSITY OF",510
"GAS ASSN, AMERICAN",510
"MEDICAL RESEARCH FOUNDATION, OKLAHOMA",510
BROKAW HOUSE,510
WE TAO‐MING,510
Northwestern University,510
FRENCH INSTITUTE FOR ADVANCED STUDY,510
"AUTOMOTIVE ENGINEERS, SOCIETY OF",510
HEALTH SERVICES ADMINISTRATION,510
"TRAVEL, US NATIONAL STUDENT ASSN EDUCATIONAL",510
Modern Language Assn of America,510
"MENTAL HEALTH, NATIONAL ASSN FOR",510
"HEALTH OFFICES, ASSN OF STATE AID TERRITORIAL",510
"CRIMINAL LAWS, NATIONAL COMMISSION ON REFORM OF FEDERAL",510
"BAR ASSN, NYS",510
BUILDING AND CONSTRUCTION TRADES DEPT,510
"BLACK ELECTED OFFICIALS, INSTITUTE FOR",510
"IOWA, UNIVERSITY OF",510
"STATISTICAL ASSN, AMERICAN",510
"KORVETTE, E J, INC.",510
German Marshall Fund of the United States,510
"AMER STATES, ORGN OF",510
"DEMOCRATIC CLUB, NATIONAL",510
Queens Borough Public Library,510
"INVESTIGATION, TEMPORARY STATE COMMISSION OF",510
"DELAWARE, UNIV OF",510
CONSTRUCTION INDUSTRY COLLECTIVE BARGAINING COMMISSION,510
"TRADE AND ECONOMIC AFFAIRS, US-CANADIAN COMMITTEE ON",510
"PLANNING COORDINATION, OFFICE OF",510
"AUTOMOBILE THEFT BUREAU, NATIONAL",510
"ENVIRONMENTAL QUALITY, CITIZENS ADVISORY COMMITTEE ON",510
Grinnell College,510
"BAR OF THE CITY OF NY, ASSN OF THE",510
"JEWISH WOMAN, NATIONAL COUNCIL OF",510
"FAMILY OF MAN, SOCIETY OF THE",510
INTERNATIONAL BASIC ECONOMY CORP.,510
"PRESS CLUB, CAPITAL",510
CONESTOGA INVESTMENTS LTD,510
"COUNTY OFFICIALS, NATIONAL ASSN OF",510
GEORGETOWN STEEL CORP,510
GRUMMAN AEROSPACE CORP.,510
KINGS COLLEGE,510
CARNEGIE INSTITUTE,510
UNITED STATES AIR WAR COLLEGE,510
SOUTHEAST ASIA TREATY ORGANIZATION,510
"PHYSICIANS AND SURGEONS, COLL OF",510
"HUMAN RIGHTS, COMM FOR",510
BOSTON TEA PARTY,510
Renwick Gallery,510
NATHAN STRAUS HOUSES,510
VILLA MADONNA COLLEGE,510
HAYS SKLAR & HERZBERG,510
"ROSS, DAVID",510
FIELD SERVICE,510
KANSAS CITY LYRIC THEATER,510
AMSTERDAM HOUSES,510
"PEI, IEOH MING, AND I M PEI & PARTNERS",510
SOUTHWEST TEXAS STATE COLLEGE,510
"ELLIMAN, DOUGLAS L, & CO.",510
"MACHINISTS, INTERNATIONAL ASSN OF",510
NEW YORK CENTRAL RR,510
"MILK PRODUCERS ASSN, NATIONAL",510
"PRESS CLUB, WASHINGTON",510
HOUSING AND HOME FINANCE AGENCY,510
ITT LIFE INSURANCE CO,510
WGHQ,510
AMERICA'S CONSCIENCE FUND,510
MUTUAL AGENTS ASSN OF NY,510
SEN SUBCOM ON INTERNAL SECURITY,510
"WOMEN, PRESIDENTIAL COMMISSION ON THE STATUS OF",510
"BAR ASSN, KENTUCKY STATE",510
"CHEMISTS ASSN, MFG.",510
"ALASKA, FEDERAL FIELD COMMITTEE FOR DEVELOPMENT PLANNING IN",510
ECON OPPORTUNITY COM,510
"TRANSPORTATION ADMINISTRATION, URBAN MASS",510
MISERICORDIA HOSPITAL,510
"STATEN IS DEVELOPMENT, OFFICE OF",510
"BANKING, AMERICAN INSTITUTE OF",510
Tuskegee Institute,510
"REPUBLICAN WOMEN, NATIONAL FEDERATION OF",510
HERBERT H LEHMAN VILLAGE,510
"INTELLIGENCE ADVISORY BOARD, PRESIDENT'S FOREIGN",510
BOTANY INDUSTRIES INC.,510
CAMPUS ADMINISTRATION,510
COLUMBIAN ASSN,510
"CHURCHES, QUEENS FEDERATION OF",510
INTER-AMERICAN DEFENSE COLLEGE,510
POLICY PLANNING COUNCIL,510
EXECUTIVES CLUB OF CHICAGO,510
"LABOR COUNCIL, NEGRO AMERICAN",510
"BIRCH, JOHN SOCIETY",510
"RECREATION RESOURCES REVIEW COMMISSION, OUTDOOR",510
"MENTAL HEALTH BD, COMMUNITY",510
"SENIOR CITIZENS, GOLDEN RING COUNCIL OF",510
ADVERTISING COUNCIL,510
"TARIFF COMMISSION, UNITED STATES",510
Pan American World Airways,510
"ECONOMIC ASSISTANCE, COUNCIL FAR MUTUAL",510
HEALTH DEPARTMENT,510
CRITICAL ISSUES COUNCIL,510
Federal Deposit Insurance Corp,509
TRANSPORTATION ADMINISTRATION,509
"BRUCE, E L, & CO INC",509
Philadelphia Orchestra,509
"SCHOLARS, COMMISSION ON PRESIDENTIAL",509
NATIONAL STEEL CORP.,509
"UKRAINIANS, WORLD CONGRESS OF FREE",509
NAVY DEPT,509
THEATRE DE FRANCE,509
"MORTGAGE ASSOCIATION, FEDERAL NATIONAL",509
CITIZENS UNION OF THE CITY OF NEW YORK,509
HOOVER ADM,509
NATIONAL FOUNDATION,509
PACE COLLEGE,509
"TRAFFIC SAFETY AGENCY, NATL",509
GEORGE ABBOTT THEATER,509
"CRIME AND DELINQUENCY, NATIONAL COUNCIL ON",509
ATLANTIC AVENUE DEVELOPMENT,509
Civilian Complaint Review Board,509
NIHON UNIV,509
OIL-POLICY COMMITTEE,509
ROUSE-WATES INC.,509
"ADVERTISING, TELEVISION BUREAU OF",509
"NIXON, RICHARD MILHOUS, LIBRARY",509
WINGS CLUB,509
Sarah Lawrence College,509
"MEDICAL CENTER, YESHIVA UNIVERSITY-BRONX MUNICIPAL HOSPITAL CENTER",509
FRED MILLER THEATRE,509
"MIAMI, UNIV OF",509
"COOL MINE SAFETY BOARD OF REVIEW, FEDERAL",509
"EXECUTIVE REORGANIZATION, PRESIDENT'S ADVISORY COUNCIL ON",509
"NEW YORK, ASSN FOR A BETTER",509
"FIRE OFFICERS ASSN, UNIFORMED",509
MARRIAGE CONCILIATION BUREAU,509
CHESEBROUGH‐POND'S INC,509
